name,market,popularity
Starboy,AD,93
Die For You,AD,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AD,93
Blinding Lights,AD,91
Creepin' (with The Weeknd & 21 Savage),AD,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AD,91
Stargirl Interlude,AD,87
Die For You (with Ariana Grande) - Remix,AD,83
Save Your Tears,AD,88
Reminder,AD,88
Starboy,AE,93
Die For You,AE,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AE,93
Blinding Lights,AE,91
Creepin' (with The Weeknd & 21 Savage),AE,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AE,91
Stargirl Interlude,AE,87
Die For You (with Ariana Grande) - Remix,AE,83
Save Your Tears,AE,88
Reminder,AE,88
Starboy,AG,93
Die For You,AG,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AG,93
Blinding Lights,AG,91
Creepin' (with The Weeknd & 21 Savage),AG,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AG,91
Stargirl Interlude,AG,87
Die For You (with Ariana Grande) - Remix,AG,83
Save Your Tears,AG,88
Reminder,AG,88
Starboy,AL,93
Die For You,AL,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AL,93
Blinding Lights,AL,91
Creepin' (with The Weeknd & 21 Savage),AL,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AL,91
Stargirl Interlude,AL,87
Die For You (with Ariana Grande) - Remix,AL,83
Save Your Tears,AL,88
Reminder,AL,88
Starboy,AM,93
Die For You,AM,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AM,93
Blinding Lights,AM,91
Creepin' (with The Weeknd & 21 Savage),AM,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AM,91
Stargirl Interlude,AM,87
Die For You (with Ariana Grande) - Remix,AM,83
Save Your Tears,AM,88
Reminder,AM,88
Starboy,AO,93
Die For You,AO,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AO,93
Blinding Lights,AO,91
Creepin' (with The Weeknd & 21 Savage),AO,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AO,91
Stargirl Interlude,AO,87
Die For You (with Ariana Grande) - Remix,AO,83
Save Your Tears,AO,88
Reminder,AO,88
Starboy,AR,93
Die For You,AR,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AR,93
Blinding Lights,AR,91
Creepin' (with The Weeknd & 21 Savage),AR,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AR,91
Stargirl Interlude,AR,87
Die For You (with Ariana Grande) - Remix,AR,83
Save Your Tears,AR,88
Reminder,AR,88
Starboy,AT,93
Die For You,AT,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AT,93
Blinding Lights,AT,91
Creepin' (with The Weeknd & 21 Savage),AT,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AT,91
Stargirl Interlude,AT,87
Die For You (with Ariana Grande) - Remix,AT,83
Save Your Tears,AT,88
Reminder,AT,88
Starboy,AU,93
Die For You,AU,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AU,93
Blinding Lights,AU,91
Creepin' (with The Weeknd & 21 Savage),AU,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AU,91
Stargirl Interlude,AU,87
Die For You (with Ariana Grande) - Remix,AU,83
Save Your Tears,AU,88
Reminder,AU,88
Starboy,AZ,93
Die For You,AZ,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",AZ,93
Blinding Lights,AZ,91
Creepin' (with The Weeknd & 21 Savage),AZ,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AZ,91
Stargirl Interlude,AZ,87
Die For You (with Ariana Grande) - Remix,AZ,83
Save Your Tears,AZ,88
Reminder,AZ,88
Starboy,BA,93
Die For You,BA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",BA,93
Blinding Lights,BA,91
Creepin' (with The Weeknd & 21 Savage),BA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,BA,91
Stargirl Interlude,BA,87
Die For You (with Ariana Grande) - Remix,BA,83
Save Your Tears,BA,88
Reminder,BA,88
Starboy,BB,93
Die For You,BB,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",BB,93
Blinding Lights,BB,91
Creepin' (with The Weeknd & 21 Savage),BB,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,BB,91
Stargirl Interlude,BB,87
Die For You (with Ariana Grande) - Remix,BB,83
Save Your Tears,BB,88
Reminder,BB,88
Starboy,BD,93
Die For You,BD,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",BD,93
Blinding Lights,BD,91
Creepin' (with The Weeknd & 21 Savage),BD,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,BD,91
Stargirl Interlude,BD,87
Die For You (with Ariana Grande) - Remix,BD,83
Save Your Tears,BD,88
Reminder,BD,88
Starboy,BE,93
Die For You,BE,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",BE,93
Blinding Lights,BE,91
Creepin' (with The Weeknd & 21 Savage),BE,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,BE,91
Stargirl Interlude,BE,87
